id,label,mislabel_score,dup_score,ood_score,sample_weight,exclude_reason
train_00000,0,0.0590455345037363,0.6989454865455627,0.1530402930391718,1.0,
train_00001,1,0.2784450871720862,0.6907352328300476,0.6344322344275867,1.0,
train_00002,0,0.0318440066599847,0.7113664269447326,0.6336996336949913,1.0,
train_00003,1,0.0133851393262175,0.6782035291194916,0.6329670329623959,1.0,
train_00004,1,0.8187067389032572,0.6396641910076142,0.9602197802127456,1.0,
train_00005,0,0.0696933912034332,0.6863749086856842,0.9706959706888596,1.0,
train_00006,1,0.873622597229262,0.7102022886276245,0.6307692307646098,0.21373966249366416,
train_00007,0,0.0102237352381464,0.8418106496334076,0.935531135524282,1.0,
train_00008,1,0.0237807670080253,0.6907568573951721,0.7684981684925385,1.0,
train_00009,1,0.2052852387410273,0.6842159867286681,0.9210256410188936,1.0,
train_00010,0,0.2962162962222136,0.6957237362861632,0.6293040292994191,1.0,
train_00011,0,0.2117313901691526,0.979892909526825,0.6278388278342283,1.0,
train_00012,1,0.9674209015628984,0.6813417375087738,0.627106227101633,0.12932118859339148,
train_00013,0,0.7611962062432509,0.7065047144889831,0.8593406593343639,1.0,
train_00014,0,0.3337590416596162,0.7788506627082825,0.6256410256364422,1.0,
train_00015,1,0.2084085216410625,0.7053835570812226,0.6249084249038469,1.0,
train_00016,0,0.2657097307213017,0.6737076699733734,0.6241758241712515,1.0,
train_00017,0,0.1569726145723586,0.6843511700630187,0.6234432234386561,1.0,
train_00018,1,0.0971371171519297,0.6786830067634582,0.6285714285668237,1.0,
train_00019,0,0.8037912893222537,0.6833262324333191,0.9553113553043568,1.0,
train_00020,1,0.0041132311301105,0.6048296391963959,0.6366300366253728,1.0,
train_00021,0,0.225001933063821,0.6884355068206787,0.637362637357968,1.0,
train_00022,0,0.0081109716228702,0.710846620798111,0.6498168498120893,1.0,
train_00023,0,0.8580194026655897,0.6564803779125213,0.7893772893715064,0.22778253760096923,
train_00024,1,0.2942768694762885,0.7121081531047821,0.6483516483468986,1.0,
train_00025,1,0.7889281593390409,0.7444208502769469,0.6476190476143032,1.0,
train_00026,1,0.2083000454626273,0.7428601443767547,0.6468864468817078,1.0,
train_00027,0,0.2609049579320224,0.9977818191051484,0.967765567758478,1.0,
train_00028,0,0.178475815506412,0.9828948438167572,0.7776556776499806,1.0,
train_00029,1,0.9519040169983278,0.7005961120128632,0.9970695970622926,1.0,ood
train_00030,0,0.4513540178709052,0.7045347571372986,0.6454212454165171,1.0,
train_00031,1,0.0300827948502171,0.6604237854480743,0.735384615379228,1.0,
train_00032,0,0.0674277613796439,0.6761048257350921,0.7870329670272012,1.0,
train_00033,0,0.6141335783140554,0.6847022771835327,0.7058608058556348,1.0,
train_00034,1,0.0271143103550446,0.7096726834774016,0.6424908424861356,1.0,
train_00035,0,0.0177349264310517,0.7202115178108215,0.9106227106160396,1.0,
train_00036,0,0.8629631608946138,0.7023861885070801,0.641025641020945,0.22333315519484753,
train_00037,0,0.1033052225613973,0.6717207551002502,0.9531135531065706,1.0,
train_00038,0,0.7273271930053926,0.7092514395713806,0.6402930402883495,1.0,
train_00039,0,0.7085578804407592,0.7113664269447326,0.6647619047570348,1.0,
train_00040,0,0.6629316979551285,0.6772301912307739,0.6388278388231589,1.0,
train_00041,0,0.2093474575529341,0.7043242931365967,0.8549450549387917,1.0,
train_00042,0,0.0595056915017597,0.9895948886871336,0.6486446886399366,1.0,
train_00043,0,0.799448333447396,0.6841356456279755,0.7736996336939657,1.0,
train_00044,1,0.0098266945768565,0.7248695313930511,0.62124542124087,1.0,
train_00045,1,0.2865809440966971,0.6859943389892578,0.6065934065889628,1.0,
train_00046,1,0.9551681710354848,0.7311509132385254,0.605128205123772,0.14034864606806363,
train_00047,0,0.2530566691234195,0.7342365741729736,0.6043956043911767,1.0,
train_00048,0,0.7,0.9949146449565888,0.9333333333264958,1.0,
train_00049,0,0.1990663549762539,0.6816828310489654,0.6029304029259859,1.0,
train_00050,0,0.2214485054922489,0.7070067405700684,0.6021978021933906,1.0,
train_00051,0,0.8447962737211767,0.6557216227054596,0.6014652014607952,1.0,
train_00052,1,0.1827722827186143,0.6387056529521942,0.8688644688581035,1.0,
train_00053,1,0.2517188931559109,0.7057335793972015,0.979487179480004,1.0,ood
train_00054,0,0.2484820686346028,0.7138060629367828,0.5999999999956045,1.0,
train_00055,0,0.4830029205287549,0.6580386340618134,0.9765567765496224,1.0,ood
train_00056,1,0.1794385143881451,0.6870478749275207,0.8783882783818434,1.0,
train_00057,0,0.7161300796837446,0.7047799527645111,0.909890109883444,1.0,
train_00058,1,0.072600028856966,0.7194894254207611,0.9142857142790164,1.0,
train_00059,0,0.2156902568709911,0.688131469488144,0.6091575091530466,1.0,
train_00060,0,0.0307010483285056,0.9952075123786926,0.9992673992600788,1.0,ood
train_00061,1,0.9637519862546844,0.7028095781803131,0.5956043956000322,0.132623212370784,
train_00062,0,0.292404927922772,0.958452045917511,0.6636630036581417,1.0,
train_00063,0,0.1875987163917903,0.6678459405899048,0.5941391941348415,1.0,
train_00064,0,0.0005773375542073,0.6797778189182282,0.6698168498119428,1.0,
train_00065,0,0.1192876369397143,0.6864747703075409,0.6073260073215581,1.0,
train_00066,0,0.0283304800118424,0.650084811449051,0.8993406593340708,1.0,
train_00067,0,0.8907905447405046,0.6913788735866546,0.9010989010922996,0.19828850973354584,
train_00068,0,0.1239774234335763,0.6973932266235352,0.6197802197756793,1.0,
train_00069,1,0.9422724246858548,0.7380071878433228,0.6190476190430839,0.15195481778273068,
train_00070,0,0.649498356053649,0.6861607193946838,0.964908424901356,1.0,
train_00071,0,0.0658472287640261,0.7117784678936004,0.8989010988945136,1.0,
train_00072,1,0.0323713129747601,0.6854354500770569,0.6168498168452978,1.0,
train_00073,0,0.1227936930719571,0.6844708144664764,0.9479853479784032,1.0,
train_00074,1,0.8586931887571962,0.6697812974452972,0.6161172161127025,0.22717613011852333,
train_00075,0,0.5365384262881031,0.7496469378471374,0.9802197802125991,1.0,ood
train_00076,0,0.8417814704029156,0.594673490524292,0.995604395597102,1.0,ood
train_00077,0,0.0175952393955789,0.7243679881095886,0.6153846153801071,1.0,
train_00078,0,0.1160733063139907,0.7074725985527038,0.9882783882711482,1.0,ood
train_00079,0,0.0445598971173629,0.688714450597763,0.6205128205082747,1.0,
train_00080,1,0.3884348306762306,0.8244682967662811,0.6146520146475117,1.0,
train_00081,1,0.0815553239612156,0.6452620148658752,0.6279120879074879,1.0,
train_00082,1,0.4965323234664558,0.992257171869278,0.6124542124497256,1.0,dup
train_00083,0,0.3825250281538789,0.7136421978473664,0.6117216117171302,1.0,
train_00084,0,0.9820463898359786,0.6750470995903015,0.610989010984535,0.1161582491476193,
train_00085,1,0.8319337036305354,0.6438632905483246,0.9912087912015296,1.0,ood
train_00086,1,0.7700897970947701,0.8590620756149292,0.8894505494440335,1.0,
train_00087,0,0.0904465511930334,0.9992417454719544,0.6387545787498992,1.0,dup
train_00088,0,0.7935033706539039,0.6903901040554046,0.9252747252679469,1.0,
